idMso	Exists in Office Excel 2010	Type in Office Excel 2010	Label in Office Excel 2010	Exists in Office Excel 2013	Type in Office Excel 2013	Label in Office Excel 2013
_3DBevelOptionsDialog	1	button	3-D Options	1	button	3-D Options
_3DBevelPictureTopGallery	1	gallery	Bevel	1	gallery	Bevel
_3DDirectionGalleryClassic	1	gallery	Direction	1	gallery	Direction
_3DEffectColorPickerClassic	1	gallery	3-D Color	1	gallery	3-D Color
_3DEffectColorPickerMoreClassic	1	button	More 3-D Colors	1	button	More 3-D Colors
_3DEffectsGalleryClassic	1	gallery	3-D Effects	1	gallery	3-D Effects
_3DEffectsOnOffClassic	1	toggleButton	3-D On/Off	1	toggleButton	3-D On/Off
_3DExtrusionDepthGalleryClassic	1	gallery	Depth	1	gallery	Depth
_3DExtrusionParallelClassic	1	toggleButton	Parallel	1	toggleButton	Parallel
_3DExtrusionPerspectiveClassic	1	toggleButton	Perspective	1	toggleButton	Perspective
_3DLightingDimClassic	1	toggleButton	Dim	1	toggleButton	Dim
_3DLightingFlatClassic	1	toggleButton	Bright	1	toggleButton	Bright
_3DLightingGalleryClassic	1	gallery	Lighting	1	gallery	Lighting
_3DLightingNormalClassic	1	toggleButton	Normal	1	toggleButton	Normal
_3DRotationGallery	1	gallery	3-D Rotation	1	gallery	3-D Rotation
_3DRotationOptionsDialog	1	button	3-D Rotation Options	1	button	3-D Rotation Options
_3DSurfaceMaterialClassic	1	menu	Surface	1	menu	Surface
_3DSurfaceMaterialGalleryClassic	1	gallery	Surface	1	gallery	Surface
_3DSurfaceMatteClassic	1	toggleButton	Matte	1	toggleButton	Matte
_3DSurfaceMetalClassic	1	toggleButton	Metal	1	toggleButton	Metal
_3DSurfacePlasticClassic	1	toggleButton	Plastic	1	toggleButton	Plastic
_3DSurfaceWireFrameClassic	1	toggleButton	Wire Frame	1	toggleButton	Wire Frame
_3DTiltDownClassic	1	button	Tilt Down	1	button	Tilt Down
_3DTiltLeftClassic	1	button	Tilt Left	1	button	Tilt Left
_3DTiltRightClassic	1	button	Tilt Right	1	button	Tilt Right
_3DTiltUpClassic	1	button	Tilt Up	1	button	Tilt Up
About	1	button	About	1	button	About
AccessibilityChecker	1	button	Check Accessibility	1	button	Check Accessibility
AccountingFormat	1	button	Accounting Number Format	1	button	Accounting Number Format
AccountingFormatExcel	1	button		1	button	
AccountingFormatMenu	1	splitButton		1	splitButton	
AccountingFormatMoreExcel	1	button	More Accounting Formats	1	button	More Accounting Formats
ActiveXButton	1	button	Command Button	1	button	Command Button
ActiveXCheckBox	1	button	Check Box	1	button	Check Box
ActiveXComboBox	1	button	Combo Box	1	button	Combo Box
ActiveXImage	1	button	Image	1	button	Image
ActiveXLabel	1	button	Label	1	button	Label
ActiveXListBox	1	button	List Box	1	button	List Box
ActiveXRadioButton	1	button	Option Button	1	button	Option Button
ActiveXScrollBar	1	button	Scroll Bar	1	button	Scroll Bar
ActiveXSpinButton	1	button	Spin Button	1	button	Spin Button
ActiveXTextBox	1	button	Text Box	1	button	Text Box
ActiveXToggleButton	1	button	Toggle Button	1	button	Toggle Button
AddChartElementMenu	0			1	menu	Add Chart Element
AddDataLabelShapesMenu	0			1	splitButton	Add Data Label
AddDataLabelsShapesMenu	0			1	splitButton	Add Data Labels
AddFavoritePen	1	button	Add Current Pen to Favorite Pens	0		
AddInManager	1	button	Add-Ins	1	button	Add-Ins
AddNode	1	button	Add Point	1	button	Add Point
AdvancedFileProperties	1	button	View Document Properties	1	button	View Document Properties
AdvancedFilterDialog	1	button	Advanced	1	button	Advanced
AdvertisePublishAs	1	button	Find add-ins for other file formats	1	button	Find add-ins for other file formats
AlignBottomExcel	1	toggleButton	Bottom Align	1	toggleButton	Bottom Align
AlignCenter	1	toggleButton	Center	1	toggleButton	Center
AlignDistributeHorizontallyClassic	1	button	Distribute Horizontally	1	button	Distribute Horizontally
AlignDistributeVerticallyClassic	1	button	Distribute Vertically	1	button	Distribute Vertically
AlignJustify	1	toggleButton	Justify	1	toggleButton	Justify
AlignLeft	1	toggleButton	Align Left	1	toggleButton	Align Left
AlignLeftToRightMenu	1	splitButton	Left-to-Right	1	splitButton	Left-to-Right
AlignMiddleExcel	1	toggleButton	Middle Align	1	toggleButton	Middle Align
AlignRight	1	toggleButton	Align Right	1	toggleButton	Align Right
AlignTopExcel	1	toggleButton	Top Align	1	toggleButton	Top Align
AllowPersonallyIdentifiableInformation	0			1	control	
AlternativeText	0			1	button	Size and Properties
AppShare	0			1	task	Present
ApplicationOptionsDialog	1	button	Options	1	button	Options
ArrowStyleGallery	1	gallery	Arrows	1	gallery	Arrows
ArrowsMore	1	button	More Arrows	1	button	More Arrows
ArtisticEffectsDialog	1	button	Artistic Effects Options	1	button	Artistic Effects Options
AsppRelationships	0			1	button	Relationships
