idMso	Exists in Office PowerPoint 2010	Type in Office PowerPoint 2010	Label in Office PowerPoint 2010	Exists in Office PowerPoint 2013	Type in Office PowerPoint 2013	Label in Office PowerPoint 2013
_3DBevelOptionsDialog	1	button	3-D Options	1	button	3-D Options
_3DBevelPictureTopGallery	1	gallery	Bevel	1	gallery	Bevel
_3DRotationGallery	1	gallery	3-D Rotation	1	gallery	3-D Rotation
_3DRotationOptionsDialog	1	button	3-D Rotation Options	1	button	3-D Rotation Options
About	1	button	About	1	button	About
AccessibilityChecker	1	button	Check Accessibility	1	button	Check Accessibility
ActionInsert	1	button	Action	1	button	Action
ActiveXButton	1	button	Command Button	1	button	Command Button
ActiveXCheckBox	1	button	Check Box	1	button	Check Box
ActiveXComboBox	1	button	Combo Box	1	button	Combo Box
ActiveXImage	1	button	Image	1	button	Image
ActiveXLabel	1	button	Label	1	button	Label
ActiveXListBox	1	button	List Box	1	button	List Box
ActiveXRadioButton	1	button	Option Button	1	button	Option Button
ActiveXScrollBar	1	button	Scroll Bar	1	button	Scroll Bar
ActiveXSpinButton	1	button	Spin Button	1	button	Spin Button
ActiveXTextBox	1	button	Text Box	1	button	Text Box
ActiveXToggleButton	1	button	Toggle Button	1	button	Toggle Button
AddAnimationGallery	1	gallery	Add Animation	0
AddAudioBookmark	1	button	Add Bookmark	0
AddChartElementMenu	0			1	menu	Add Chart Element
AddDataLabelShapesMenu	0			1	splitButton	Add Data Label
AddDataLabelsShapesMenu	0			1	splitButton	Add Data Labels
AddFavoritePen	1	button	Add Current Pen to Favorite Pens	0
AddHorizontalGuide	0			1	button	Add Horizontal Guide
AddInManager	1	button	Add-Ins	1	button	Add-Ins
AddNode	1	button	Add Point	1	button	Add Point
AddTriggerMenu	1	menu	Trigger	0
AddTriggerOnClick	1	gallery	On Click	0
AddTriggerOnMediaBookmark	1	gallery	On Bookmark	0
AddVerticalGuide	0			1	button	Add Vertical Guide
AddVideoBookmark	1	button	Add Bookmark	0
AdditionalActions	0			1	gallery	Additional Actions
AdvanceSlideLabel	1	labelControl	Advance Slide	1	labelControl	Advance Slide
AdvancedFileProperties	1	button	View Document Properties	1	button	View Document Properties
AdvertisePublishAs	1	button	Find add-ins for other file formats	1	button	Find add-ins for other file formats
AlignCenter	1	toggleButton	Center	1	toggleButton	Center
AlignDistributeHorizontally	1	button	Distribute Horizontally	1	button	Distribute Horizontally
AlignDistributeVertically	1	button	Distribute Vertically	1	button	Distribute Vertically
AlignJustify	1	toggleButton	Justify	1	toggleButton	Justify
AlignJustifyLow	1	toggleButton	Justify Low	1	toggleButton	Justify Low
AlignJustifyMenu	1	menu	Justify	1	menu	Justify
AlignJustifyThai	1	toggleButton	Distribute	1	toggleButton	Distribute
AlignJustifyWithMixedLanguages	1	toggleButton	Justify	1	toggleButton	Justify
AlignLeft	1	toggleButton	Align Left	1	toggleButton	Align Left
AlignRight	1	toggleButton	Align Right	1	toggleButton	Align Right
AllowPersonallyIdentifiableInformation	0			1	control
AlternativeText	0			1	button	Size and Position
AnimationAddGallery	0			1	gallery	Add Animation
AnimationAutoPreview	0			1	toggleButton	AutoPreview
AnimationChangeGallery	1	gallery	Effect Options Animation Variant Property	1	gallery	Effect Options Animation Variant Property
AnimationCustom	1	toggleButton	Animation Pane	1	toggleButton	Animation Pane
AnimationCustomActionVerbDialog	0			1	button	OLE Action Verbs
AnimationCustomAddActionVerbDialog	0			1	button	OLE Action Verbs
AnimationCustomAddEmphasisDialog	0			1	button	More Emphasis Effects
AnimationCustomAddEntranceDialog	0			1	button	More Entrance Effects
AnimationCustomAddExitDialog	0			1	button	More Exit Effects
AnimationCustomAddPathDialog	0			1	button	More Motion Paths
AnimationCustomEmphasisDialog	0			1	button	More Emphasis Effects
AnimationCustomEntranceDialog	0			1	button	More Entrance Effects
AnimationCustomExitDialog	0			1	button	More Exit Effects
AnimationCustomPathDialog	0			1	button	More Motion Paths
AnimationDelay	1	control	Delay	1	control	Delay
AnimationDuration	1	control	Duration	1	control	Duration
AnimationGallery	1	gallery	Animation Styles	1	gallery	Animation Styles
AnimationMoveEarlier	1	button	Move Earlier	1	button	Move Earlier
AnimationMoveLater	1	button	Move Later	1	button	Move Later
AnimationPainter	1	toggleButton	Animation Painter	1	control	Animation Painter
AnimationPreview	1	button	Preview	1	button	Preview
AnimationPreviewMenu	0			1	splitButton	Preview
AnimationReorderLabel	0			1	labelControl	Reorder Animation
AnimationStartDropdown	1	dropDown	Start	1	dropDown	Start
AnimationTransitionGallery	1	gallery	Transition Scheme	1	gallery	Transition Styles
AnimationTransitionSoundGallery	1	dropDown	Sound	1	dropDown	Sound
AnimationTransitionSpeedGallery	1	dropDown	Speed	1	dropDown	Speed
AnimationTransitionVariantGallery	1	gallery	Effect Options	1	gallery	Effect Options
