idMso	Exists in Office Word 2010	Type in Office Word 2010	Label in Office Word 2010	Exists in Office Word 2013	Type in Office Word 2013	Label in Office Word 2013
_3DBevelOptionsDialog	1	button	3-D Options	1	button	3-D Options
_3DBevelPictureTopGallery	1	gallery	Bevel	1	gallery	Bevel
_3DDirectionGalleryClassic	1	gallery	Direction	1	gallery	Direction
_3DEffectColorPickerClassic	1	gallery	3-D Color	1	gallery	3-D Color
_3DEffectColorPickerMoreClassic	1	button	More 3-D Colors	1	button	More 3-D Colors
_3DEffectsGalleryClassic	1	gallery	3-D Effects	1	gallery	3-D Effects
_3DEffectsOnOffClassic	1	toggleButton	3-D On/Off	1	toggleButton	3-D On/Off
_3DExtrusionDepthCustom	1	control	Custom 3D Depth	1	control	Custom 3D Depth
_3DExtrusionDepthGalleryClassic	1	gallery	Depth	1	gallery	Depth
_3DExtrusionParallelClassic	1	toggleButton	Parallel	1	toggleButton	Parallel
_3DExtrusionPerspectiveClassic	1	toggleButton	Perspective	1	toggleButton	Perspective
_3DLightingDimClassic	1	toggleButton	Dim	1	toggleButton	Dim
_3DLightingFlatClassic	1	toggleButton	Bright	1	toggleButton	Bright
_3DLightingGalleryClassic	1	gallery	Lighting	1	gallery	Lighting
_3DLightingNormalClassic	1	toggleButton	Normal	1	toggleButton	Normal
_3DRotationGallery	1	gallery	3-D Rotation	1	gallery	3-D Rotation
_3DRotationOptionsDialog	1	button	3-D Rotation Options	1	button	3-D Rotation Options
_3DSurfaceMaterialGalleryClassic	1	gallery	Surface	1	gallery	Surface
_3DTiltDownClassic	1	button	Tilt Down	1	button	Tilt Down
_3DTiltLeftClassic	1	button	Tilt Left	1	button	Tilt Left
_3DTiltRightClassic	1	button	Tilt Right	1	button	Tilt Right
_3DTiltUpClassic	1	button	Tilt Up	1	button	Tilt Up
About	1	button	About	1	button	About
AcceptAllChangesInDocAndStopTracking	0			1	button	Accept All Changes and Stop Tracking
AccessibilityChecker	1	button	Check Accessibility	1	button	Check Accessibility
AccountSettings	1	button	Account Settings	1	button	Account Settings
AcetateModeOriginalMarkup	0			1	toggleButton	Original: Show Markup
ActivateProduct	1	button	Activate Product	1	button	Activate Product
ActiveXButton	1	button	Command Button	1	button	Command Button
ActiveXCheckBox	1	button	Check Box	1	button	Check Box
ActiveXComboBox	1	button	Combo Box	1	button	Combo Box
ActiveXFrame	1	button	Frame	1	button	Frame
ActiveXImage	1	button	Image	1	button	Image
ActiveXLabel	1	button	Label	1	button	Label
ActiveXListBox	1	button	List Box	1	button	List Box
ActiveXRadioButton	1	button	Option Button	1	button	Option Button
ActiveXScrollBar	1	button	Scroll Bar	1	button	Scroll Bar
ActiveXSpinButton	1	button	Spin Button	1	button	Spin Button
ActiveXTextBox	1	button	Text Box	1	button	Text Box
ActiveXToggleButton	1	button	Toggle Button	1	button	Toggle Button
AddChartElementMenu	0			1	menu	Add Chart Element
AddDataLabelShapesMenu	0			1	splitButton	Add Data Label
AddDataLabelsShapesMenu	0			1	splitButton	Add Data Labels
AddFavoritePen	1	button	Add Current Pen to Favorite Pens	0		
AddInManager	0			1	button	Document Template
AddNode	1	button	Add Point	1	button	Add Point
AddToFavorites	1	button	Add to Favorites	1	button	Add to Favorites
AddressBook	1	button	Address Book	1	button	Address Book
AddressFontsFormat	1	button	Format Addr Fonts	1	button	Format Addr Fonts
AdjustListIndents	1	button	Adjust List Indents	0		
AdvancedFileProperties	1	button	View Document Properties	1	button	View Document Properties
AdvertisePublishAs	1	button	Find add-ins for other file formats	1	button	Find add-ins for other file formats
AlignCenter	1	toggleButton	Center	1	toggleButton	Center
AlignDialog	1	button	Align	1	button	Align
AlignDistributeHorizontally	1	button	Distribute Horizontally	1	button	Distribute Horizontally
AlignDistributeVertically	1	button	Distribute Vertically	1	button	Distribute Vertically
AlignJustify	1	toggleButton	Justify	1	toggleButton	Justify
AlignJustifyHigh	1	toggleButton	Justify High	1	toggleButton	Justify High
AlignJustifyLow	1	toggleButton	Justify Low	1	toggleButton	Justify Low
AlignJustifyMedium	1	toggleButton	Justify Medium	1	toggleButton	Justify Medium
AlignJustifyMenu	1	menu	Justify	1	menu	Justify
AlignJustifyThai	1	toggleButton	Distribute	1	toggleButton	Distribute
AlignJustifyWithMixedLanguages	1	toggleButton	Justify	1	toggleButton	Justify
AlignLeft	1	toggleButton	Align Left	1	toggleButton	Align Left
AlignRight	1	toggleButton	Align Right	1	toggleButton	Align Right
AlignmentGuides	0			1	checkBox	Use Alignment Guides
AllowPersonallyIdentifiableInformation	0			1	control	
AlternativeText	0			1	button	Size
ApplicationOptionsDialog	1	button	Options	1	button	Options
ApplyCoAuthoringLock	1	toggleButton	Block Authors	1	toggleButton	Block Authors
ApplyStylesPane	1	toggleButton	Apply Styles	1	toggleButton	Apply Styles
