idMso	Exists in Office 2010	Exists in Office 2013
_0	1	1
_1	1	1
_2	1	1
_3	1	1
_4	1	1
_5	1	1
_6	1	1
_7	1	1
_8	1	1
_9	1	1
_0PercentComplete	1	1
_100PercentComplete	1	1
_25PercentComplete	1	1
_3DBevelOptionsDialog	1	1
_3DBevelPictureTopGallery	0	1
_3DDirectionGalleryClassic	1	1
_3DEffectColorPickerClassic	1	1
_3DEffectsGalleryClassic	1	1
_3DEffectsOnOffClassic	1	1
_3DExtrusionDepth144Classic	1	1
_3DExtrusionDepth288Classic	1	1
_3DExtrusionDepth36Classic	1	1
_3DExtrusionDepth72Classic	1	1
_3DExtrusionDepthGalleryClassic	1	1
_3DExtrusionDepthInfinityClassic	1	1
_3DExtrusionDepthNoneClassic	1	1
_3DExtrusionDirectionClassic	1	1
_3DExtrusionParallelClassic	1	1
_3DExtrusionPerspectiveClassic	1	1
_3DLightGallery	0	1
_3DLightingClassic	1	1
_3DLightingDimClassic	1	1
_3DLightingFlatClassic	1	1
_3DLightingGalleryClassic	1	1
_3DLightingNormalClassic	1	1
_3DMaterialGallery	0	1
_3DMaterialMetal	0	1
_3DMaterialMixed	0	1
_3DMaterialPlastic	0	1
_3DPerspectiveDecrease	1	1
_3DPerspectiveIncrease	1	1
_3DRotationGallery	1	1
_3DRotationOptionsDialog	1	1
_3DStyle	1	1
_3DSurfaceMaterialClassic	1	1
_3DSurfaceMaterialGalleryClassic	1	1
_3DSurfaceMatteClassic	1	1
_3DSurfaceMetalClassic	1	1
_3DSurfacePlasticClassic	1	1
_3DSurfaceWireFrameClassic	1	1
_3DTiltDownClassic	1	1
_3DTiltLeftClassic	1	1
_3DTiltRightClassic	1	1
_3DTiltUpClassic	1	1
_50PercentComplete	1	1
_75PercentComplete	1	1
3DBevelPictureTopGallery	1	0
3DMaterialMetal	1	0
3DMaterialMixed	1	0
3DMaterialPlastic	1	0
A	1	1
ARMPreviewButton	0	1
ASPNetSettings	1	0
About	0	1
AboveText	1	1
AcceptAndAdvance	1	1
AcceptInvitation	1	1
AcceptProposal	1	1
AcceptTask	1	1
AccessFormDatasheet	1	1
AccessFormDatasheetWeb	1	0
AccessFormModalDialog	1	1
AccessFormModalDialogWeb	1	1
AccessFormPivotTable	1	1
AccessFormWizard	1	1
AccessInsertColumnLeft	1	0
AccessInsertColumnRight	1	0
AccessInsertRowAbove	1	0
AccessInsertRowBelow	1	0
AccessListAssets	1	1
AccessListContacts	1	1
AccessListCustom	1	1
AccessListCustomDatasheet	1	1
AccessListEvents	1	1
AccessListIssues	1	1
AccessListTasks	1	1
AccessMergeCells	1	1
AccessNavigationOptions	1	1
AccessOfflineLists	1	1
AccessOnlineLists	1	1
AccessRecycleBin	1	1
AccessRefreshAllLists	1	1
AccessRelinkLists	1	1
AccessReportMore	1	1
AccessRequests	1	1
AccessTableAssets	1	1
AccessTableContacts	1	1
AccessTableEvents	1	1
AccessTableIssues	1	1
AccessTableTasks	1	1
AccessThemesGallery	1	1
AccessWebQuery	1	0
AccessibilityChecker	1	1
AccessibilityReports	1	1
AccountMenu	1	1
AccountSettings	1	1
AccountingFormat	1	1
AccountingFormatMenu	1	1
AcetateModeOriginalMarkup	0	1
ActionDelete	0	1
ActionInsert	1	1
ActionInsertAccess	0	1
ActiveXButton	1	1
ActiveXCheckBox	1	1
ActiveXComboBox	1	1
ActiveXFrame	1	1
ActiveXImage	1	1
ActiveXLabel	1	1
ActiveXListBox	1	1
ActiveXRadioButton	1	1
ActiveXScrollBar	1	1
ActiveXSpinButton	1	1
ActiveXTextBox	1	1
ActiveXToggleButton	1	1
ActualBorderColor	1	0
ActualFillColor	1	0
ActualSize	1	1
AddAccount	0	1
AddAnimationGallery	1	0
AddAssignmentStage	1	1
AddAudioBookmark	1	0
AddBreakpoint	1	1
AddCalendarFromInternet	1	1
AddCalendarMenu	1	1
AddCellLeft	1	1
AddCellRight	1	1
AddChartElementMenu	0	1
AddContentType	1	1
AddDepartment	1	1
AddEventAutomation	1	1
AddExistingTasksToTimeline	0	1
AddFolderToFavorites	1	1
AddGroup	1	1
AddHorizontalGuide	0	1
AddInCommandsMenu	1	1
AddInManager	0	1
AddInManagerSpd	1	0
AddInsMenu	1	1
AddJumpsTo	1	0
AddJumpsToFirstDispLine	1	0
AddJumpsToHorzLines	1	0
AddJumpsToLastDispLine	1	0
AddJumpsToLastRoutedLine	1	0
AddJumpsToNoLines	1	0
AddJumpsToVertLines	1	0
AddNewColumnMenu	1	1
AddNewMasterPage	1	0
AddNewRssFeed	1	1
AddNewRule	1	1
AddOnsMenu	0	1
AddOrRemoveAttendees	1	1
AddPeoplesCalendar	1	1
AddPermissionGroup	0	1
AddReminder	1	1
AddResourcesFromActiveDirectory	0	1
AddResourcesFromAddressBook	1	0
AddResourcesFromProjectServer	1	0
AddResourcesMenu	1	0
AddRoom	1	1
AddRulesMenu	0	1
AddSelectionToAccentsLibrary	1	1
AddSelectionToAdvertisementLibrary	1	1
AddSelectionToBILibrary	1	0
AddSelectionToBusinessInformationLibrary	0	1
AddSelectionToCalendarsLibrary	1	1
AddSelectionToContentLibrary	1	1
AddSelectionToPagePartsLibrary	0	1
AddSelectionToPgPartsLibrary	1	0
AddSelectionToTextLibrary	1	1
AddSelectionToVertTextLibrary	1	1
AddTaskToTimeline	1	0
AddTasksToTimelineDialog	1	0
AddTextToTextEffect	1	1
AddToContentStore	1	1
AddToFavorites	1	1
AddToGroup	1	0
AddToMyShapesExisting	1	1
AddToMyShapesNew	1	1
AddToMyShapesTree	1	1
AddToMySite	0	1
AddToPublicFolderFavorites	1	0
AddToolGallery	1	1
AddTrial	1	1
AddTriggerMenu	1	0
AddTriggerOnClick	1	0
AddTriggerOnMediaBookmark	1	0
AddUserToPermissionGroup	0	1
AddVerticalGuide	0	1
AddVideoBookmark	1	0
AddVideoTitle	1	1
AddWebPartConnection	1	1
AddressBook	1	1
AdministrationHome	1	1
AdpConstraints	1	1
AdpDiagramAddRelatedTables	1	1
AdpDiagramAddTable	1	1
AdpDiagramArrangeSelection	1	1
AdpDiagramArrangeTables	1	1
AdpDiagramAutosizeSelectedTables	1	1
AdpDiagramColumnNames	1	1
AdpDiagramColumnProperties	1	1
AdpDiagramCustomView	1	1
AdpDiagramDeleteTable	1	1
AdpDiagramHideTable	1	1
AdpDiagramIndexesKeys	1	1
AdpDiagramKeys	1	1
AdpDiagramNameOnly	1	1
AdpDiagramNewLabel	1	1
AdpDiagramNewTable	1	1
AdpDiagramRecalculatePageBreaks	1	1
AdpDiagramRelationships	1	1
AdpDiagramShowRelationshipLabels	1	1
AdpDiagramTableModesMenu	1	1
AdpDiagramViewPageBreaks	1	1
AdpManageIndexes	1	1
AdpNewTable	1	1
AdpOutputOperationsAddToOutput	1	1
AdpOutputOperationsGroupBy	1	1
AdpOutputOperationsSortAscending	1	1
AdpOutputOperationsSortDescending	1	1
AdpOutputOperationsTableRemove	1	1
AdpPrimaryKey	1	1
AdpStoredProcedureEditSql	1	1
AdpStoredProcedureQueryAppend	1	1
AdpStoredProcedureQueryAppendValues	1	1
AdpStoredProcedureQueryDelete	1	1
AdpStoredProcedureQueryMakeTable	1	1
AdpStoredProcedureQuerySelect	1	1
AdpStoredProcedureQueryUpdate	1	1
AdpVerifySqlSyntax	1	1
AdpViewDiagramPane	1	1
AdpViewGridPane	1	1
AdpViewSqlPane	1	1
AdvancedFileProperties	1	1
AdvancedFilterDialog	1	1
AdvancedFind	1	1
AdvancedMode	0	1
AdvancedObjectMenu	0	1
AdvertisePublishAs	1	1
AdvertisementGallery	0	1
AfterDelete	1	1
AfterDeleteSql	0	1
AfterInsert	1	1
AfterInsertSql	0	1
AfterUpdate	1	1
AfterUpdateSql	0	1
Alerts	1	1
AlignBottomExcel	1	1
AlignCenter	1	1
AlignDialog	1	1
AlignDistributeHorizontally	1	1
AlignDistributeHorizontallyClassic	1	1
AlignDistributeVertically	1	1
AlignDistributeVerticallyClassic	1	1
AlignGallery	0	1
AlignJustify	1	1
AlignJustifyHigh	1	1
AlignJustifyLow	1	1
AlignJustifyMedium	1	1
AlignJustifyMenu	1	1
AlignJustifyThai	1	1
AlignJustifyWithMixedLanguages	1	1
AlignLeft	1	1
AlignLeftToRightMenu	1	1
AlignMenuAlternate	1	1
AlignMiddleExcel	1	1
AlignRelativeToPage	1	1
AlignRight	1	1
AlignTopExcel	1	1
AllCategories	1	1
AllModuleNameItems	1	1
AllTablesDisconnected	1	1
AllowClose	1	1
AllowConnections	1	1
AllowEditInPersonalView	1	1
AllowHide	1	1
AllowMinimize	1	1
AllowThemes	1	0
AllowZoneChange	1	1
AlternativeText	1	1
AlwaysMoveConversation	1	1
AlwaysMoveToFolder	1	1
AlwaysSortFoldersAtoZ	0	1
AnimationAddGallery	0	1
AnimationAudio	1	1
AnimationCustom	1	1
AnimationCustomActionVerbDialog	0	1
AnimationCustomAddActionVerbDialog	0	1
AnimationCustomAddEmphasisDialog	0	1
AnimationCustomAddEntranceDialog	0	1
AnimationCustomAddExitDialog	0	1
AnimationCustomAddPathDialog	0	1
AnimationCustomEmphasisDialog	0	1
AnimationCustomEntranceDialog	0	1
AnimationCustomExitDialog	0	1
AnimationCustomPathDialog	0	1
AnimationDelay	1	1
AnimationDuration	1	1
AnimationGallery	1	1
AnimationMoveEarlier	1	1
AnimationMoveLater	1	1
AnimationOnClick	1	1
AnimationPainter	1	1
AnimationPreview	1	1
AnimationPreviewMenu	0	1
AnimationStartDropdown	1	1
AnimationTransitionGallery	1	1
AnimationTransitionSoundGallery	1	1
AnimationTransitionSpeedGallery	1	1
AnimationTransitionVariantGallery	1	1
AnimationTriggerAddMenu	0	1
AnimationTriggerAddOnClick	0	1
AnimationTriggerAddOnMediaBookmark	0	1
AnnotationAdvancedSettings	1	0
AnnotationAutoLinkOption	1	0
AnnotationCopy	1	0
AnnotationDeleteAllNoteLinks	1	0
AnnotationDeleteNotelink	1	0
AnnotationReLink	1	0
AnnotationRepairLink	1	0
AnnotationStartAutoLinking	1	0
AnnotationStopAutoLinking	1	0
AnonymousAccess	1	1
AppShare	0	1
AppendOnly	1	1
AppendOnlyControl	1	1
AppletProperties	1	0
ApplicationMaximize	1	0
ApplicationMinimize	1	0
ApplicationMove	1	0
ApplicationOptions	1	0
ApplicationOptionsDialog	1	1
ApplicationRestore	1	0
ApplicationSettingsMenu	1	0
ApplicationSize	1	0
ApplyCoAuthoringLock	1	1
ApplyCommaFormat	1	1
ApplyCssStyles	1	1
ApplyCurrencyFormat	1	1
ApplyFilter	1	1
ApplyImageBackgroundFill	0	1
ApplyImageBackgroundTile	0	1
ApplyImageToBackgroundMenu	0	1
ApplyMasterPage1	1	1
ApplyNavigationChanges	1	0
ApplyPercentageFormat	1	1
ApplyStylesPane	1	1
ApplyViewToAllFolders	1	0
AppointmentAttachment	1	1
AppointmentAutomaticFormatting	1	1
AppointmentBusy	1	1
AppointmentColor0	1	1
AppointmentColor1	1	1
AppointmentColor10	1	1
AppointmentColor2	1	1
AppointmentColor3	1	1
AppointmentColor4	1	1
AppointmentColor5	1	1
AppointmentColor6	1	1
AppointmentColor7	1	1
AppointmentColor8	1	1
AppointmentColor9	1	1
AppointmentColorDialog	1	1
AppointmentOutOfOffice	1	1
AppointmentWorkingElsewhere	0	1
ApproveApprovalRequest	1	1
ArcTool	1	1
Archive	1	1
ArchivePolicyTagsGallery	1	1
AreaSelect	0	1
ArrangeByAccount	0	1
ArrangeByAppointmentStart	1	1
ArrangeByAssignment	1	1
ArrangeByAttachment	0	1
ArrangeByAvailability	0	1
ArrangeByCategory	0	1
ArrangeByCompany	1	1
ArrangeByConversation	0	1
ArrangeByConversationDate	1	0
ArrangeByCreatedDate	1	1
ArrangeByDate	0	1
ArrangeByFolder	0	1
ArrangeByFrom	0	1
ArrangeByImportance	0	1
ArrangeByLocation	1	1
ArrangeByLogContact	1	1
ArrangeByModifiedDate	1	1
ArrangeByOrganizer	1	1
ArrangeByRecurrence	1	1
ArrangeBySize	0	1
ArrangeByStore	0	1
ArrangeBySubject	0	1
ArrangeByTo	0	1
ArrangeByToDoDue	0	1
ArrangeByToDoStart	0	1
ArrangeByType	0	1
ArrangeContent	1	1
ArrangeFolderGroupsByName	1	0
ArrangeMembers	1	1
ArrangeThumbnails	0	1
ArrangeTools	1	1
ArrangeToolsSiteClient	1	1
ArrangeWindowsDialog	1	1
ArrangementGallery	1	1
ArrayShapes	1	0
Arrow	1	1
ArrowStyleGallery	1	1
ArrowsMore	1	1
ArtisticEffectsDialog	1	1
AsianLayoutCharacterScaling	1	1
AsianLayoutCharactersEnclose	1	1
AsianLayoutCombineCharacters	1	1
AsianLayoutFitText	1	1
AsianLayoutHorizontalInVertical	1	1
AsianLayoutMenu	1	1
AsianLayoutPhoneticGuide	1	1
AsianNewspaperJustify	1	1
AsianTypography	1	1
AsianTypographyGrid	0	1
AsppRelationships	0	1
AssetSettings	0	1
AssignResourcesDialog	1	0
AssignTask	1	1
AssignToLayer	1	0
AssignmentInformation	1	1
AssignmentNotes	1	1
AssignmentsShow	1	1
AssociateExistingWorkflow	1	1
AssociateWFPublish	1	1
AttachDrawingToTask	1	0
AttachFile	1	1
AttachItem	1	1
AttachItemCombo	1	1
AttachMenu	1	1
AttachNotesToMeeting	0	1
AudioAndVideoGiveFeedback	1	1
AudioBookmarkAdd	0	1
AudioBookmarkRemove	0	1
AudioFadeInTime	0	1
AudioFadeOutTime	0	1
AudioInsert	1	1
AudioNoteDelete	1	1
AudioNotePlayback	0	1
AudioRecordingInsert	0	1
AudioStartGallery	0	1
AudioStyles	0	1
AudioToolsTrim	1	1
AudioVideoSettings	0	1
AudioVolumeGallery	1	1
AuthorHighlightingHide	0	1
AutoAlignAndSpace	0	1
AutoArchiveSettings	1	1
AutoConnect	1	1
AutoCorrect	1	1
AutoCreateInkShapes	1	0
AutoDetectConnectionType	1	0
AutoDial	1	1
AutoFillMode	0	1
AutoFilterClassic	1	1
AutoFilterProject	1	1
AutoFormat	1	1
AutoFormatChange	1	1
AutoFormatDialog	1	1
AutoFormatGallery	1	1
AutoFormatNow	1	1
AutoFormatWizard	1	1
AutoLinkingStart	0	1
AutoLinkingStop	0	1
AutoNavigation	1	0
AutoPageSize	1	0
AutoPreview	1	1
AutoScheduleBorderColor	1	0
AutoScheduleFillColor	1	0
AutoScheduleSelectedTask	1	1
AutoScheduleTask	1	0
AutoScheduleTaskToNearestWorkingDay	1	1
AutoScheduleTaskToSuggestedStartDate	1	1
AutoSigInsertPictureFromFile	1	1
AutoSigWebInsertHyperlink	1	1
AutoSizePage	0	1
AutoSum	1	1
AutoSumMenu	1	1
AutoSummarize	1	1
AutoSummaryResummarize	1	1
AutoSummaryToolsMenu	1	1
AutoSummaryViewByHighlight	1	1
AutoTextGallery	1	1
AutoThumbnail	1	1
AutocompleteControl	0	1
AutomaticFormatting	1	1
AutomaticResize	0	1
B	1	1
BackAttach	1	1
BackgroundImageGallery	1	1
BackgroundPageInsert	0	1
BackgroundRemovalClose	0	1
BackgroundSound	1	1
BackgroundsGallery	0	1
Backspace	0	1
BackupSite	1	1
BackupWebSite	1	1
BarFormat	1	1
BarStylesFormat	0	1
BarcodeInsert	1	1
Baseline	1	1
BaselineClear	1	1
BaselineSave	1	1
BeforeChange	0	1
BeforeDelete	0	1
BehaviorsTaskPane	1	1
BehindText	1	1
BestFit	1	1
Bevel	1	1
BevelShapeGallery	1	1
BevelTextGallery	1	1
BibliographyAddNewPlaceholder	1	1
BibliographyAddNewSource	1	1
BibliographyGallery	1	1
BibliographyInsert	1	1
BibliographyManageSources	1	1
BibliographyStyle	1	1
BindingMenu	1	0
BizBarPublishToSharePoint	1	1
BlackAndWhite	1	1
BlackAndWhiteAutomatic	1	1
BlackAndWhiteBlack	1	1
BlackAndWhiteBlackWithGrayscaleFill	1	1
BlackAndWhiteBlackWithWhiteFill	1	1
BlackAndWhiteDontShow	1	1
BlackAndWhiteGrayWithWhiteFill	1	1
BlackAndWhiteGrayscale	1	1
BlackAndWhiteInverseGrayscale	1	1
BlackAndWhiteLightGrayscale	1	1
BlackAndWhiteWhite	1	1
BlankPageInsert	1	1
BlankPageInsertMenu	0	1
BlankPageInsertVisio	0	1
BlankRowInsert	1	1
BlockAuthorsMenu	0	1
BlogCategories	1	1
BlogCategoriesRefresh	1	1
BlogCategoryInsert	1	1
BlogHomePage	1	1
BlogInsertCategories	1	1
BlogManageAccounts	1	1
BlogOpenExisting	1	1
BlogPublish	1	1
BlogPublishDraft	1	1
BlogPublishMenu	1	1
BodyTextHide	1	1
Bold	1	1
BookmarkInsert	1	1
BookmarkInsertPublisher	0	1
BookmarkProperties	1	0
BorderBottom	1	1
BorderBottomNoToggle	1	1
BorderBottomWord	1	1
BorderColor	1	1
BorderColorPicker	1	1
BorderColorPickerExcel	1	1
BorderDiagonalDown	1	1
BorderDiagonalUp	1	1
BorderDoubleBottom	1	1
